"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TodoMVC UI Automation","0","Edit Todo","2","0","Edit-trigger guards","0"
"0","TodoMVC UI Automation","0","Edit Todo","1","0","Edge cases","0"
"0","TodoMVC UI Automation","0","Create Todo","4","0","Edge cases","0"
"0","TodoMVC UI Automation","0","Create Todo","5","0","XSS escaping","0"
"0","TodoMVC UI Automation","0","Toggle single Todo","1","0","Smoke","0"
"0","TodoMVC UI Automation","0","Filters & routing","1","0","Active filter","0"
"0","TodoMVC UI Automation","0","Clear completed","1","0","Bulk clear","0"
"0","TodoMVC UI Automation","0","Edit Todo","1","0","Save with blur","0"
"0","TodoMVC UI Automation","0","Counter","1","0","Pluralization","0"
"0","TodoMVC UI Automation","0","Delete Todo","1","0","Smoke","0"
"0","TodoMVC UI Automation","0","Filters & routing","1","0","Completed filter","0"
"0","TodoMVC UI Automation","0","Create Todo","1","0","List rendering","0"
"0","TodoMVC UI Automation","0","Toggle single Todo","1","0","Toggle off","0"
"0","TodoMVC UI Automation","0","Create Todo","1","0","Smoke","0"
"0","TodoMVC UI Automation","0","Edit Todo","1","0","Enter edit mode","0"
"0","TodoMVC UI Automation","0","Create Todo","1","0","Input behavior","0"
"0","TodoMVC UI Automation","0","Edit Todo","1","0","Save with Enter","0"
"0","TodoMVC UI Automation","0","Filters & routing","1","0","Reactive filtering","0"
"0","TodoMVC UI Automation","0","Toggle all","1","0","Bulk toggle round-trip","0"
